GHI,Temperature,Relative Humidity,Solar Zenith Angle,Cloud Type,Clearsky GHI,Power_MW
0.0,7.550000000000001,91.825,161.1,0.0,0.0,9.6
0.0,7.15,91.725,157.93,0.0,0.0,15.6
0.0,6.8500000000000005,90.88,149.095,0.0,0.0,19.2
0.0,6.65,89.525,138.095,0.0,0.0,21.0
0.0,6.5,87.87,126.39,0.0,0.0,21.5
0.0,6.45,86.2,114.56,0.0,0.0,19.8
0.0,6.45,84.925,102.9,0.0,0.0,15.5
8.5,7.050000000000001,81.815,91.5,0.0,8.5,9.7
129.0,9.0,75.535,81.11,0.0,129.0,0.0
302.0,10.650000000000002,68.655,71.85,0.0,302.0,0.0
449.0,12.5,64.38499999999999,64.26,0.0,449.0,0.0
546.5,14.05,62.31,59.07,0.0,546.5,0.0
